,phrases,kmeans_prediction
0,", but also may feature wedding announcements and anniversaries",4
1,THE GREAT DANE ) (,2
2,Pomo,2
3,of our time,12
4,over the gun,2
5,UCI,2
6,the episode,2
7,"during breakfast and Drivetime , as well as a comprehensive Sports round up daily at 1pm",0
8,his,5
9,in Tlaxcala State,2
10,from Thuringia,2
11,to a design by Reid and Forbes,13
12,as at 2014,0
13,", up 11 places from 33rd last year",2
14,in 1764,2
15,Sir Edwin Wijeyeratne,2
16,city and,4
17,Moran,2
18,tacos,2
19,a member of rec.arts.comics,12
20,against Spain,2
21,Paul,2
22,"played college football at California , and",16
23,former,18
24,2003 by Roca et al in,13
25,and hence ineligible to compete,6
26,Her vocal style is one that panders to African - American and profits off of them,6
27,he and,4
28,of,12
29,and,4
30,to 2029,6
31,Goulart,2
32,Primary School,2
33,"T - Pain ,",2
34,Brazilian,2
35,", which is featured",2
36,and Governors,4
37,then,15
38,as does Robert Dessaix 's 1996 novel '' Night Letters '',0
39,the,3
40,and was later used to help the protagonists imprison Vortech,6
41,", and the volcano itself is surrounded completely by an area below sea level",13
42,"has led international scientific conferences on dysferlinopathy research ,",10
43,Pyotr Ilyich,2
44,Association,2
45,and a few miles west of La Grange,12
46,professional,2
47,", fascinated by the size of the Apache ( Mangas was 6 feet , 6 inches tall ) ,",13
48,and the Brickyard 400,4
49,and older sister of Walter Green,12
50,some of,12
51,- American,2
52,her,2
53,holds,2
54,direct,2
55,"Thus far , all directors of the GCSB have had a military career before joining the organisation",12
56,the,3
57,to,6
58,", in 2002",2
59,Adrian,2
60,", and David Gerardo , a professor of Economics and Public Policy at Lawrence University in Appleton , Wisconsin",4
61,simply,2
62,Do n't Cry Daddy,2
63,and 7th Lord Seaforth,4
64,racial,2
65,foreskin,2
66,Montagnards ',2
67,"or by reaction of carbonyls with electrophilic carbenes , which are usually prepared from diazo compounds",13
68,2001,2
69,", or FLOPS",19
70,and Sami continue to reject any physical intimacy from Ej,6
71,one he married was,16
72,'' Blazing Saddles '',2
73,"after ,",2
74,and the fight against AIDS,4
75,207 km,2
76,in Scotland,2
77,and 1 Young Artist Award .,4
78,shithole of a,12
79,", Falk Dance",2
80,when he struck the crossbar,2
81,", but is now running again",2
82,even though the songs are not used to unlock new songs in career mode,6
83,Jr,2
84,", who",2
85,that housed the State of Illinois execution chamber,12
86,Calcutta,2
87,", formally known as Pitcairn , Henderson , Ducie and Oeno Islands",0
88,in which you will find theCamas Potholes,2
89,aka Boabdil,2
90,with the exeption of the oldest prayers which are written in Aramaic,12
91,it,2
92,1,2
93,", as opposed to arupa",0
94,the,3
95,by the team,13
96,Adiliya,2
97,"Fuhrmann , p.20",2
98,next,2
99,", 2008",2
